latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
2019-12-20,60.38
2019-12-21,59.81
2019-12-22,59.39
2019-12-23,58.84
2019-12-24,58.43
2019-12-25,58.02
2019-12-26,57.61
2019-12-27,57.48
2019-12-28,57.34
2019-12-29,56.94
2019-12-30,56.54
2019-12-31,56.15
2020-01-01,55.75
2020-01-02,55.62
2020-01-03,56.41
2020-01-04,56.68
2020-01-05,56.28
2020-01-06,55.62
2020-01-07,55.10
2020-01-08,54.59
2020-01-09,54.21
2020-01-10,53.83
2020-01-11,53.45
2020-01-12,53.08
2020-01-13,52.70
2020-01-14,52.46
2020-01-15,52.09
2020-01-16,51.84
2020-01-17,51.60
2020-01-18,51.36
2020-01-19,51.12
2020-01-20,50.76
2020-01-21,50.64
2020-01-22,50.40
2020-01-23,50.17
2020-01-24,49.93
2020-01-25,49.70
2020-01-26,49.58
2020-01-27,49.35
2020-01-28,49.12
2020-01-29,49.00
2020-01-30,48.89
2020-01-31,48.77
2020-02-01,48.77
2020-02-02,48.66
2020-02-03,48.43
2020-02-04,48.32
2020-02-05,48.09
2020-02-06,47.98
2020-02-07,47.53
2020-02-08,47.19
2020-02-09,46.97
2020-02-10,46.86
2020-02-11,46.75
2020-02-12,46.53
2020-02-13,46.42
2020-02-14,46.32
2020-02-15,46.21
2020-02-16,46.10
2020-02-17,45.88
2020-02-18,45.77
2020-02-19,45.67
2020-02-20,45.56
2020-02-21,45.45
2020-02-22,44.60
2020-02-23,44.08
2020-02-24,43.87
2020-02-25,43.87
2020-02-26,44.19
2020-02-27,44.39
2020-02-28,44.29
2020-02-29,44.08
2020-03-01,43.87
2020-03-02,43.77
2020-03-03,43.67
2020-03-04,43.57
2020-03-05,43.46
2020-03-06,43.67
2020-03-07,43.98
2020-03-08,43.77
2020-03-09,42.95
2020-03-10,42.35
2020-03-11,42.15
2020-03-12,41.95
2020-03-13,42.25
2020-03-14,42.45
2020-03-15,42.35
2020-03-16,42.25
2020-03-17,42.15
2020-03-18,42.05
2020-03-19,42.15
2020-03-20,42.15
2020-03-21,42.15
2020-03-22,42.15
2020-03-23,42.05
2020-03-24,41.95
2020-03-25,41.85
2020-03-26,41.76
2020-03-27,41.66
2020-03-28,41.46
2020-03-29,41.66
2020-03-30,41.85
2020-03-31,41.85
2020-04-01,41.95
2020-04-02,42.55
2020-04-03,43.26
2020-04-04,43.16
2020-04-05,42.85
2020-04-06,42.55
2020-04-07,42.35
2020-04-08,42.25
2020-04-09,42.15
2020-04-10,42.05
2020-04-11,41.95
2020-04-12,41.85
2020-04-13,41.66
2020-04-14,41.56
2020-04-15,41.66
2020-04-16,43.67
2020-04-17,46.42
2020-04-18,48.43
2020-04-19,46.75
2020-04-20,45.24
2020-04-21,45.56
2020-04-22,45.67
2020-04-23,45.34
2020-04-24,50.29
2020-04-25,51.00
2020-04-26,49.47
2020-04-27,47.42
2020-04-28,47.19
2020-04-29,47.98
2020-04-30,47.19
2020-05-01,45.77
2020-05-02,45.24
2020-05-03,45.03
2020-05-04,44.71
2020-05-05,44.71
2020-05-06,45.13
2020-05-07,44.92
2020-05-08,44.29
2020-05-09,43.77
2020-05-10,43.46
2020-05-11,43.16
2020-05-12,42.95
2020-05-13,43.67
2020-05-14,44.08
2020-05-15,44.81
2020-05-16,46.42
2020-05-17,46.32
2020-05-18,45.24
2020-05-19,47.08
2020-05-20,48.32
2020-05-21,49.58
2020-05-22,50.29
2020-05-23,50.17
2020-05-24,49.00
2020-05-25,48.09
2020-05-26,49.23
2020-05-27,64.92
2020-05-28,82.56
2020-05-29,85.30
2020-05-30,81.41
2020-05-31,78.80
2020-06-01,76.98
2020-06-02,77.52
2020-06-03,78.80
2020-06-04,81.41
2020-06-05,83.33
2020-06-06,83.53
2020-06-07,82.18
2020-06-08,81.22
2020-06-09,82.18
2020-06-10,84.51
2020-06-11,86.90
2020-06-12,89.16
2020-06-13,91.26
2020-06-14,91.68
2020-06-15,91.68
2020-06-16,91.26
2020-06-17,196.24
2020-06-18,200.37
2020-06-19,170.40
2020-06-20,151.41
2020-06-21,140.25
2020-06-22,133.90
2020-06-23,130.52
2020-06-24,127.23
2020-06-25,124.31
2020-06-26,124.60
2020-06-27,128.72
2020-06-28,133.59
2020-06-29,133.28
2020-06-30,133.28
2020-07-01,132.35
2020-07-02,131.13
2020-07-03,129.02
2020-07-04,127.53
2020-07-05,127.23
2020-07-06,127.53
2020-07-07,126.35
2020-07-08,126.94
2020-07-09,126.94
2020-07-10,127.53
2020-07-11,129.62
2020-07-12,136.72
2020-07-13,139.93
2020-07-14,140.25
2020-07-15,139.28
2020-07-16,137.04
2020-07-17,134.52
2020-07-18,132.05
2020-07-19,132.35
2020-07-20,133.28
2020-07-21,139.28
2020-07-22,142.55
2020-07-23,143.54
2020-07-24,141.23
2020-07-25,138.00
2020-07-26,134.83
2020-07-27,133.28
2020-07-28,132.35
2020-07-29,131.13
2020-07-30,129.62
2020-07-31,127.23
2020-08-01,124.89
2020-08-02,122.59
2020-08-03,120.62
2020-08-04,120.34
2020-08-05,125.77
2020-08-06,129.92
2020-08-07,130.83
2020-08-08,129.32
2020-08-09,127.23
2020-08-10,125.18
2020-08-11,123.17
2020-08-12,121.46
2020-08-13,119.50
2020-08-14,126.94
2020-08-15,129.02
2020-08-16,127.53
2020-08-17,126.35
2020-08-18,126.94
2020-08-19,129.62
2020-08-20,133.90
2020-08-21,137.04
2020-08-22,138.64
2020-08-23,137.36
2020-08-24,135.46
2020-08-25,136.40
2020-08-26,138.64
2020-08-27,139.93
2020-08-28,140.91
2020-08-29,140.25
2020-08-30,139.60
2020-08-31,141.56
2020-09-01,142.88
2020-09-02,141.56
2020-09-03,138.64
2020-09-04,135.46
2020-09-05,132.97
2020-09-06,130.83
2020-09-07,129.02
2020-09-08,126.94
2020-09-09,126.94
2020-09-10,128.72
2020-09-11,128.72
2020-09-12,127.53
2020-09-13,127.23
2020-09-14,127.82
2020-09-15,128.42
2020-09-16,128.72
2020-09-17,127.82
2020-09-18,125.18
2020-09-19,122.31
2020-09-20,121.18
2020-09-21,124.03
2020-09-22,129.02
2020-09-23,133.90
2020-09-24,134.83
2020-09-25,135.77
2020-09-26,135.14
2020-09-27,133.28
2020-09-28,131.13
2020-09-29,128.42
2020-09-30,128.42
2020-10-01,130.22
2020-10-02,130.83
2020-10-03,129.32
2020-10-04,128.72
2020-10-05,128.72
2020-10-06,128.42
2020-10-07,127.23
2020-10-08,125.18
2020-10-09,124.03
2020-10-10,125.18
2020-10-11,125.47
2020-10-12,123.45
2020-10-13,121.46
2020-10-14,119.50
2020-10-15,117.30
2020-10-16,115.14
2020-10-17,113.29
2020-10-18,112.50
2020-10-19,111.72
2020-10-20,111.20
2020-10-21,111.20
2020-10-22,115.14
2020-10-23,127.23
2020-10-24,134.52
2020-10-25,134.83
2020-10-26,130.83
2020-10-27,126.94
2020-10-28,123.74
2020-10-29,120.90
2020-10-30,118.12
2020-10-31,117.30
2020-11-01,117.85
2020-11-02,117.30
2020-11-03,115.95
2020-11-04,114.61
2020-11-05,113.29
2020-11-06,111.20
2020-11-07,108.90
2020-11-08,106.65
2020-11-09,104.68
2020-11-10,102.75
2020-11-11,100.86
2020-11-12,99.00
2020-11-13,97.17
2020-11-14,95.61
2020-11-15,93.84
2020-11-16,92.11
2020-11-17,90.62
2020-11-18,89.16
2020-11-19,87.51
2020-11-20,86.10
2020-11-21,84.70
2020-11-22,83.53
2020-11-23,82.37
2020-11-24,81.22
2020-11-25,79.91
2020-11-26,78.62
2020-11-27,77.34
2020-11-28,76.09
2020-11-29,75.03
2020-11-30,73.82
2020-12-01,72.62
2020-12-02,71.44
2020-12-03,70.45
2020-12-04,69.47
2020-12-05,68.50
2020-12-06,67.55
2020-12-07,66.61
2020-12-08,65.83
2020-12-09,65.07
2020-12-10,64.31
2020-12-11,63.57
2020-12-12,62.97
2020-12-13,62.24
2020-12-14,61.66
2020-12-15,61.09
2020-12-16,60.52
2020-12-17,59.95
2020-12-18,59.39
2020-12-19,58.98
2020-12-20,58.43
2020-12-21,58.02
2020-12-22,57.48
2020-12-23,57.08
2020-12-24,56.68
2020-12-25,56.28
2020-12-26,55.75
2020-12-27,55.36
2020-12-28,55.10
2020-12-29,54.72
2020-12-30,54.34
2020-12-31,53.95
2021-01-01,53.58
2021-01-02,53.33
2021-01-03,52.95
2021-01-04,52.58
2021-01-05,52.33
2021-01-06,51.97
2021-01-07,51.72
2021-01-08,51.48
2021-01-09,51.12
2021-01-10,50.76
2021-01-11,50.40
2021-01-12,50.17
2021-01-13,49.93
2021-01-14,49.70
2021-01-15,49.47
2021-01-16,49.23
2021-01-17,49.00
2021-01-18,48.77
2021-01-19,48.55
2021-01-20,48.43
2021-01-21,48.20
2021-01-22,47.98
2021-01-23,47.87
2021-01-24,47.64
2021-01-25,47.53
2021-01-26,47.31
2021-01-27,47.08
2021-01-28,46.97
2021-01-29,46.75
2021-01-30,46.75
2021-01-31,46.64
2021-02-01,46.53
2021-02-02,46.53
2021-02-03,46.32
2021-02-04,46.21
2021-02-05,46.10
2021-02-06,45.88
2021-02-07,45.45
2021-02-08,45.03
2021-02-09,44.92
2021-02-10,44.71
2021-02-11,44.60
2021-02-12,44.50
2021-02-13,44.39
2021-02-14,44.29
2021-02-15,44.08
2021-02-16,43.98
2021-02-17,43.98
2021-02-18,43.87
2021-02-19,43.77
2021-02-20,43.77
2021-02-21,43.67
2021-02-22,42.65
2021-02-23,41.95
2021-02-24,41.76
2021-02-25,41.66
2021-02-26,41.56
2021-02-27,41.66
2021-02-28,41.66
2021-03-01,41.56
2021-03-02,41.56
2021-03-03,41.46
2021-03-04,41.46
2021-03-05,41.95
2021-03-06,44.29
2021-03-07,44.39
2021-03-08,43.77
2021-03-09,43.36
2021-03-10,42.15
2021-03-11,41.27
2021-03-12,40.88
2021-03-13,40.59
2021-03-14,40.88
2021-03-15,40.98
2021-03-16,40.88
2021-03-17,40.78
2021-03-18,40.69
2021-03-19,40.50
2021-03-20,40.59
2021-03-21,40.69
2021-03-22,40.59
2021-03-23,40.50
2021-03-24,40.40
2021-03-25,40.30
2021-03-26,40.30
2021-03-27,40.21
2021-03-28,40.21
2021-03-29,40.59
2021-03-30,45.45
2021-03-31,52.21
2021-04-01,51.60
2021-04-02,48.77
2021-04-03,46.10
2021-04-04,44.29
2021-04-05,43.26
2021-04-06,42.55
2021-04-07,42.15
2021-04-08,42.35
2021-04-09,42.25
2021-04-10,41.85
2021-04-11,41.56
2021-04-12,41.27
2021-04-13,41.07
2021-04-14,40.88
2021-04-15,40.78
2021-04-16,41.36
2021-04-17,41.56
2021-04-18,42.25
2021-04-19,42.55
2021-04-20,42.05
2021-04-21,41.56
2021-04-22,41.27
2021-04-23,41.07
2021-04-24,40.88
2021-04-25,40.69
2021-04-26,40.50
2021-04-27,40.40
2021-04-28,40.30
2021-04-29,40.30
2021-04-30,40.50
2021-05-01,40.59
2021-05-02,42.05
2021-05-03,45.13
2021-05-04,45.24
2021-05-05,43.77
2021-05-06,42.65
2021-05-07,41.95
2021-05-08,41.36
2021-05-09,41.17
2021-05-10,41.46
2021-05-11,41.95
2021-05-12,42.55
2021-05-13,45.67
2021-05-14,45.88
2021-05-15,44.81
2021-05-16,43.57
2021-05-17,42.65
2021-05-18,47.87
2021-05-19,51.48
2021-05-20,49.93
2021-05-21,47.19
2021-05-22,45.45
2021-05-23,44.29
2021-05-24,44.71
2021-05-25,47.98
2021-05-26,48.43
2021-05-27,46.97
2021-05-28,45.56
2021-05-29,44.71
2021-05-30,44.92
2021-05-31,45.99
2021-06-01,49.70
2021-06-02,51.48
2021-06-03,51.36
2021-06-04,51.12
2021-06-05,52.09
2021-06-06,54.21
2021-06-07,56.68
2021-06-08,57.21
2021-06-09,56.02
2021-06-10,60.66
2021-06-11,64.16
2021-06-12,66.76
2021-06-13,67.71
2021-06-14,66.76
2021-06-15,66.61
2021-06-16,66.30
2021-06-17,67.08
2021-06-18,70.12
2021-06-19,73.30
2021-06-20,74.68
2021-06-21,74.16
2021-06-22,72.96
2021-06-23,72.45
2021-06-24,72.11
2021-06-25,71.11
2021-06-26,70.78
2021-06-27,70.61
2021-06-28,70.94
2021-06-29,72.45
2021-06-30,75.74
2021-07-01,80.28
2021-07-02,87.31
2021-07-03,90.62
2021-07-04,90.20
2021-07-05,87.92
2021-07-06,86.30
2021-07-07,86.90
2021-07-08,88.13
2021-07-09,88.54
2021-07-10,87.10
2021-07-11,85.50
2021-07-12,90.62
2021-07-13,96.50
2021-07-14,98.54
2021-07-15,97.40
2021-07-16,99.46
2021-07-17,101.57
2021-07-18,105.66
2021-07-19,113.29
2021-07-20,114.88
2021-07-21,112.50
2021-07-22,110.17
2021-07-23,110.43
2021-07-24,112.50
2021-07-25,113.29
2021-07-26,114.35
2021-07-27,118.40
2021-07-28,124.03
2021-07-29,129.02
2021-07-30,132.35
2021-07-31,134.52
2021-08-01,136.09
2021-08-02,138.64
2021-08-03,139.60
2021-08-04,138.64
2021-08-05,139.28
2021-08-06,143.21
2021-08-07,147.59
2021-08-08,150.01
2021-08-09,149.66
2021-08-10,148.28
2021-08-11,146.57
2021-08-12,145.55
2021-08-13,144.55
2021-08-14,143.54
2021-08-15,142.22
2021-08-16,141.23
2021-08-17,141.56
2021-08-18,144.21
2021-08-19,144.88
2021-08-20,143.54
2021-08-21,141.23
2021-08-22,138.96
2021-08-23,137.68
2021-08-24,137.68
2021-08-25,137.36
2021-08-26,136.72
2021-08-27,134.83
2021-08-28,136.72
2021-08-29,147.94
2021-08-30,154.60
2021-08-31,154.60
2021-09-01,152.82
2021-09-02,150.01
2021-09-03,147.59
2021-09-04,145.22
2021-09-05,146.91
2021-09-06,153.88
2021-09-07,156.40
2021-09-08,154.24
2021-09-09,151.05
2021-09-10,148.28
2021-09-11,145.89
2021-09-12,143.54
2021-09-13,143.21
2021-09-14,143.88
2021-09-15,145.55
2021-09-16,147.94
2021-09-17,153.88
2021-09-18,159.69
2021-09-19,160.44
2021-09-20,158.59
2021-09-21,155.68
2021-09-22,152.82
2021-09-23,149.66
2021-09-24,146.57
2021-09-25,144.55
2021-09-26,142.88
2021-09-27,140.58
2021-09-28,139.60
2021-09-29,138.96
2021-09-30,137.04
2021-10-01,134.83
2021-10-02,135.14
2021-10-03,136.40
2021-10-04,136.09
2021-10-05,133.90
2021-10-06,131.13
2021-10-07,128.42
2021-10-08,125.77
2021-10-09,123.17
2021-10-10,120.62
2021-10-11,118.40
2021-10-12,115.95
2021-10-13,113.55
2021-10-14,111.72
2021-10-15,109.66
2021-10-16,107.64
2021-10-17,105.91
2021-10-18,104.20
2021-10-19,103.23
2021-10-20,104.68
2021-10-21,104.44
2021-10-22,102.75
2021-10-23,100.39
2021-10-24,98.31
2021-10-25,96.27
2021-10-26,94.28
2021-10-27,92.54
2021-10-28,91.04
2021-10-29,89.57
2021-10-30,87.92
2021-10-31,86.30
2021-11-01,84.90
2021-11-02,83.33
2021-11-03,81.79
2021-11-04,80.47
2021-11-05,78.98
2021-11-06,77.70
2021-11-07,76.45
2021-11-08,75.03
2021-11-09,73.82
2021-11-10,72.62
2021-11-11,71.44
2021-11-12,70.45
2021-11-13,69.31
2021-11-14,68.34
2021-11-15,67.39
2021-11-16,66.45
2021-11-17,65.53
2021-11-18,64.77
2021-11-19,63.86
2021-11-20,62.97
2021-11-21,62.10
2021-11-22,61.23
2021-11-23,60.52
2021-11-24,59.81
2021-11-25,58.98
2021-11-26,58.29
2021-11-27,57.61
2021-11-28,57.08
2021-11-29,56.41
2021-11-30,55.89
2021-12-01,55.23
2021-12-02,54.59
2021-12-03,54.08
2021-12-04,53.70
2021-12-05,53.83
2021-12-06,63.42
2021-12-07,66.45
2021-12-08,64.46
2021-12-09,62.10
2021-12-10,59.95
2021-12-11,58.43
2021-12-12,57.21
2021-12-13,56.02
2021-12-14,54.98
2021-12-15,54.08
2021-12-16,53.33
2021-12-17,52.70
2021-12-18,52.09
2021-12-19,51.48
2021-12-20,51.00
2021-12-21,50.64
2021-12-22,50.29
2021-12-23,50.17
2021-12-24,49.82
2021-12-25,49.58
2021-12-26,49.23
2021-12-27,48.89
2021-12-28,48.66
2021-12-29,48.32
2021-12-30,48.09
2021-12-31,47.75
2022-01-01,47.53
2022-01-02,47.31
2022-01-03,47.08
2022-01-04,46.86
2022-01-05,46.64
2022-01-06,46.42
2022-01-07,46.21
2022-01-08,45.99
2022-01-09,45.77
2022-01-10,45.56
2022-01-11,45.24
2022-01-12,45.13
2022-01-13,45.03
2022-01-14,44.92
2022-01-15,44.92
2022-01-16,44.81
2022-01-17,44.60
2022-01-18,44.50
2022-01-19,44.29
2022-01-20,44.39
2022-01-21,44.39
2022-01-22,44.29
2022-01-23,44.08
2022-01-24,43.98
2022-01-25,43.98
2022-01-26,44.60
2022-01-27,45.34
2022-01-28,45.24
2022-01-29,44.71
2022-01-30,44.39
2022-01-31,44.19
2022-02-01,44.39
2022-02-02,44.39
2022-02-03,44.19
2022-02-04,44.92
2022-02-05,45.34
2022-02-06,45.13
2022-02-07,44.50
2022-02-08,43.87
2022-02-09,43.57
2022-02-10,43.26
2022-02-11,43.06
2022-02-12,42.85
2022-02-13,42.65
2022-02-14,42.45
2022-02-15,42.35
2022-02-16,42.25
2022-02-17,41.95
2022-02-18,41.85
2022-02-19,41.76
2022-02-20,41.66
2022-02-21,41.66
2022-02-22,40.98
2022-02-23,40.59
2022-02-24,40.50
2022-02-25,40.59
2022-02-26,40.59
2022-02-27,40.59
2022-02-28,40.69
2022-03-01,40.59
2022-03-02,40.40
2022-03-03,40.30
2022-03-04,40.11
2022-03-05,39.93
2022-03-06,39.83
2022-03-07,39.74
2022-03-08,39.64
2022-03-09,39.55
2022-03-10,38.99
2022-03-11,38.63
2022-03-12,38.54
2022-03-13,38.45
2022-03-14,38.81
2022-03-15,38.99
2022-03-16,38.99
2022-03-17,38.99
2022-03-18,38.90
2022-03-19,38.81
2022-03-20,38.81
2022-03-21,38.90
2022-03-22,38.81
2022-03-23,38.81
2022-03-24,40.02
2022-03-25,41.27
2022-03-26,44.60
2022-03-27,43.98
2022-03-28,42.45
2022-03-29,41.66
2022-03-30,41.36
2022-03-31,41.27
2022-04-01,41.07
2022-04-02,40.78
2022-04-03,41.27
2022-04-04,41.36
2022-04-05,40.98
2022-04-06,40.59
2022-04-07,40.30
2022-04-08,40.02
2022-04-09,40.02
2022-04-10,40.02
2022-04-11,46.97
2022-04-12,48.09
2022-04-13,45.45
2022-04-14,43.98
2022-04-15,43.57
2022-04-16,43.46
2022-04-17,44.19
2022-04-18,44.19
2022-04-19,44.50
2022-04-20,46.64
2022-04-21,46.97
2022-04-22,47.98
2022-04-23,48.43
2022-04-24,47.42
2022-04-25,46.32
2022-04-26,45.56
2022-04-27,44.92
2022-04-28,44.39
2022-04-29,43.87
2022-04-30,43.67
2022-05-01,44.81
2022-05-02,45.24
2022-05-03,49.35
2022-05-04,51.00
2022-05-05,49.93
2022-05-06,48.32
2022-05-07,47.19
2022-05-08,46.32
2022-05-09,46.32
2022-05-10,47.98
2022-05-11,52.83
2022-05-12,57.61
2022-05-13,60.94
2022-05-14,63.27
2022-05-15,65.53
2022-05-16,67.23
2022-05-17,68.82
2022-05-18,69.63
2022-05-19,69.96
2022-05-20,69.47
2022-05-21,69.47
2022-05-22,69.15
2022-05-23,68.18
2022-05-24,68.02
2022-05-25,69.15
2022-05-26,70.45
2022-05-27,70.61
2022-05-28,70.12
2022-05-29,70.94
2022-05-30,71.61
2022-05-31,72.62
2022-06-01,73.99
2022-06-02,75.74
2022-06-03,80.47
2022-06-04,84.90
2022-06-05,86.50
2022-06-06,85.90
2022-06-07,85.30
2022-06-08,84.70
2022-06-09,87.92
2022-06-10,89.57
2022-06-11,88.33
2022-06-12,86.90
2022-06-13,86.50
2022-06-14,88.33
2022-06-15,91.90
2022-06-16,96.72
2022-06-17,102.04
2022-06-18,124.31
2022-06-19,132.97
2022-06-20,135.14
2022-06-21,134.21
2022-06-22,131.74
2022-06-23,128.12
2022-06-24,125.47
2022-06-25,122.88
2022-06-26,120.34
2022-06-27,118.12
2022-06-28,116.49
2022-06-29,116.49
